Dataset,Subset,Metric,n,rho,p,q_BH,sig,CI_lo,CI_hi
Spain,HC,pNN50,27,0.5854700854700854,0.0013354870254763417,0.020032305382145125,*,0.2115990208226299,0.8382865381375355
Spain,HC,SDANN,0,,,,,,
Spain,HC,SD1,27,0.2576312576312576,0.19450152085003744,0.5835045625501123,,-0.10944741366774484,0.622745572370546
Spain,HC,SD2,27,0.3778998778998779,0.05195958232507759,0.34474144202239015,,-0.0042892814314567035,0.6804992196388172
Spain,HC,SD1SD2,27,0.009157509157509158,0.9638418632217349,0.9638418632217349,,-0.36260693762624013,0.3690327414323867
Spain,HC,VLF_power,27,0.023809523809523808,0.9061626175694906,0.9638418632217349,,-0.44932522124942076,0.43954696358979056
Spain,HC,LF_power,27,-0.0586080586080586,0.7715288186972193,0.9638418632217349,,-0.47612568561588503,0.3558495660286676
Spain,HC,HF_power,27,-0.08363858363858362,0.6783159613853458,0.9638418632217349,,-0.4606204035665605,0.3188634709595542
Spain,HC,Total_power,27,-0.038461538461538464,0.8489444428529815,0.9638418632217349,,-0.4698346925469752,0.42544488543740533
Spain,HC,LF_HF,27,-0.031135531135531136,0.8774784176509959,0.9638418632217349,,-0.4104115479115479,0.4197481627294603
Spain,HC,LF_norm,27,0.02503052503052503,0.9013729592497146,0.9638418632217349,,-0.36369579367516125,0.44001019051089674
Spain,HC,HF_norm,27,-0.018925518925518924,0.9253516782792711,0.9638418632217349,,-0.4275457501170796,0.37606902442521517
Spain,HC,DFA_alpha1,27,-0.09096459096459096,0.6518184006867955,0.9638418632217349,,-0.42971569509088653,0.27752223244403557
Spain,HC,DFA_alpha2,27,0.13064713064713065,0.5159941686613065,0.9638418632217349,,-0.30699114147159096,0.49964670552486556
Japan,All,SDNN,37,0.5232337600758652,0.0008908331284424506,0.006235831899097154,**,0.2704404722126577,0.7223031243016954
Japan,All,RMSSD,37,0.2650545282124229,0.11286826427443276,0.2633592833070098,,-0.060687937739294706,0.5176755581972197
Japan,All,pNN50,37,0.450687529634898,0.005121012310668357,0.023898057449785664,*,0.15269418179413752,0.6840627511689034
Japan,All,SDANN,37,0.3015647226173541,0.06969679395525319,0.24393877884338616,,-0.012292164459660037,0.5701487779915199
Japan,All,SD1,37,0.2650545282124229,0.11286826427443276,0.2633592833070098,,-0.06824456741858163,0.5403105221052041
Japan,All,SD2,37,0.5749170222854434,0.00019779636912483817,0.0027691491677477344,**,0.3212483839646738,0.7478475267856802
Japan,All,SD1SD2,0,,,,,,
Japan,All,VLF_power,37,0.22735893788525366,0.17595844603912641,0.30792728056847124,,-0.1372011010556459,0.5411675596766244
Japan,All,LF_power,37,0.04125177809388335,0.8084582397317897,0.8706473350957734,,-0.27478332435293185,0.3889005785381875
Japan,All,HF_power,37,-0.08511142721669036,0.6164739923971978,0.8302890197727383,,-0.3815482072775597,0.25612790402122104
