sample,tipo
806758,cleaned
807533,cleaned
808322,cleaned
809103,cleaned
809876,cleaned
810666,cleaned
811460,cleaned
812253,cleaned
813013,cleaned
813812,cleaned
814596,cleaned
815382,cleaned
816149,cleaned
816955,cleaned
817729,cleaned
818514,cleaned
819274,cleaned
820085,cleaned
820858,cleaned
821641,cleaned
822412,cleaned
823211,cleaned
824022,cleaned
824823,cleaned
825631,cleaned
826429,cleaned
827211,cleaned
827993,cleaned
828785,cleaned
829545,cleaned
830342,cleaned
831106,cleaned
831876,cleaned
832642,cleaned
833375,cleaned
834153,cleaned
834915,cleaned
835679,cleaned
836435,cleaned
837198,cleaned
837974,cleaned
838754,cleaned
839504,cleaned
840310,cleaned
841105,cleaned
841908,cleaned
842694,cleaned
843458,cleaned
844277,cleaned
845074,cleaned
845868,cleaned
846667,cleaned
847470,cleaned
848257,cleaned
849041,cleaned
849795,cleaned
850597,cleaned
851377,cleaned
852125,cleaned
852912,cleaned
853646,cleaned
854422,cleaned
855186,cleaned
855952,cleaned
856723,cleaned
857491,cleaned
858249,cleaned
859040,cleaned
859848,cleaned
860628,cleaned
861427,cleaned
862235,cleaned
863036,cleaned
863849,cleaned
864667,cleaned
865501,cleaned
866289,cleaned
867076,cleaned
867919,cleaned
868722,cleaned
869505,cleaned
870299,cleaned
871071,cleaned
871889,cleaned
872666,cleaned
873421,cleaned
874227,cleaned
875004,cleaned
875746,cleaned
876511,cleaned
877309,cleaned
878087,cleaned
878868,cleaned
879661,cleaned
880433,cleaned
881276,cleaned
882063,cleaned
882879,cleaned
883697,cleaned
884514,cleaned
885313,cleaned
886118,cleaned
886923,cleaned
887723,cleaned
888506,cleaned
889296,cleaned
890087,cleaned
890877,cleaned
891636,cleaned
892453,cleaned
893245,cleaned
894035,cleaned
894813,cleaned
895598,cleaned
896382,cleaned
897142,cleaned
897942,cleaned
898728,cleaned
899515,cleaned
900264,cleaned
901035,cleaned
901840,cleaned
902619,cleaned
903384,cleaned
904153,cleaned
904934,cleaned
905692,cleaned
906477,cleaned
907276,cleaned
908062,cleaned
908851,cleaned
909614,cleaned
910413,cleaned
